season,comp,competition_type,Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HxG,AxG,elo_h,elo_a,elo_diff,xelo_h,xelo_a,xelo_diff,elo_h_s,elo_a_s,elo_diff_s,xelo_h_s,xelo_a_s,xelo_diff_s,fh_pts,fh_gf,fh_ga,fh_xgf,fh_xga,fa_pts,fa_gf,fa_ga,fa_xgf,fa_xga,all_h_pts,all_a_pts,all_h_xgd,all_a_xgd,days_rest_h,days_rest_a,h2h_h_pts,promoted_h,promoted_a,value_log_ratio,age_gap,h_momentum,a_momentum,elo_exp_h,xelo_exp_h,h_att,a_att,form_pts_gap,mkt_pH,mkt_pD,mkt_pA
2020-21,Premier League,league,2020-09-13,West Brom,Leicester,A,0.0,3.0,0.352997,2.95581,1500.0,1500.0,65.0,1500.0,1500.0,65.0,1500.0,1500.0,65.0,1500.0,1500.0,65.0,,,,,,,,,,,,,,,,,,,,-1.297063227391948,-0.07101027640799273,,,0.5924662305843318,0.5924662305843318,,,,0.247005025866883,0.2677617507296463,0.4852332234034707
2020-21,Premier League,league,2020-09-14,Sheffield United,Wolves,A,0.0,2.0,0.949316,1.61307,1500.0,1500.0,65.0,1500.0,1500.0,65.0,1500.0,1500.0,65.0,1500.0,1500.0,65.0,,,,,,,,,,,,,,,,,,,,-1.0354165348654842,0.3758219357694301,,,0.5924662305843318,0.5924662305843318,,,,0.2845605251971851,0.31870778822084733,0.3967316865819676
2020-21,Premier League,league,2020-09-14,Brighton,Chelsea,A,1.0,3.0,1.44281,1.27062,1500.0,1500.0,65.0,1500.0,1500.0,65.0,1500.0,1500.0,65.0,1500.0,1500.0,65.0,,,,,,,,,,,,,,,,,,,,-1.1623281030542174,-0.24618544086948901,,,0.5924662305843318,0.5924662305843318,,,,0.18716988801942425,0.23203627764151386,0.580793834339062
2020-21,Bundesliga,league,2020-09-18,Bayern Munich,Schalke 04,H,8.0,0.0,4.62088,0.14975,1500.0,1500.0,65.0,1500.0,1500.0,65.0,1500.0,1500.0,65.0,1500.0,1500.0,65.0,,,,,,,,,,,,,,,,,,,,2.13160905017101,1.3984792489154465,,,0.5924662305843318,0.5924662305843318,,,,0.878584830380381,0.08262790898314197,0.03878726063647693
2020-21,Premier League,league,2020-09-19,Arsenal,West Ham,H,2.0,1.0,1.32902,2.06377,1519.7119822707123,1498.5649220958373,86.14706017487492,1515.7935338950242,1505.554310366619,75.23922352840532,1519.7119822707123,1498.5649220958373,86.14706017487492,1515.7935338950242,1505.554310366619,75.23922352840532,,,,,,,,,,,,,,,7.0,4.0,,,,0.41591337472696455,-1.8712478588796486,,,0.6214958841155097,0.6066164889317721,,,,0.625731570755481,0.21227700737381067,0.1619914218707083
2020-21,Premier League,league,2020-09-19,Man United,Crystal Palace,A,1.0,3.0,1.09737,1.91456,1500.0,1506.7795411980826,58.2204588019174,1500.0,1501.2214924982643,63.7785075017357,1500.0,1506.7795411980826,58.2204588019174,1500.0,1501.2214924982643,63.7785075017357,,,,,,,,,,,,,,,,4.0,,,,1.425950627899819,-3.4226934157346456,,,0.5830104383735492,0.5907673831730703,,,,0.7272414395909359,0.17234447042370474,0.10041408998535935
2020-21,Premier League,league,2020-09-19,Leeds,Fulham,H,4.0,3.0,1.45254,1.55503,1493.2204588019174,1490.5030458955853,67.71741290633213,1486.7279821569762,1494.3515090159085,57.37647314106766,1493.2204588019174,1490.5030458955853,67.71741290633213,1486.7279821569762,1494.3515090159085,57.37647314106766,,,,,,,,,,,,,,,3.0,3.0,,,,0.13806993129880438,0.9129063975769398,,,0.5962376251654783,0.5818288489107377,,,,0.5843578887645922,0.241397213494693,0.17424489774071478
2020-21,Premier League,league,2020-09-19,Everton,West Brom,H,5.0,2.0,4.16254,0.315347,1522.9033465793898,1494.638734560943,93.26461201844677,1518.5202006415523,1496.0659993257455,87.45420131580681,1522.9033465793898,1494.638734560943,93.26461201844677,1518.5202006415523,1496.0659993257455,87.45420131580681,,,,,,,,,,,,,,,3.0,3.0,,,,1.2280703559049966,0.003987533186393222,,,0.6310849926108778,0.6232643152321478,,,,0.6223560039049789,0.22551252847380412,0.15213146762121704
2020-21,La Liga,league,2020-09-19,Celta,Valencia,H,2.0,1.0,2.33534,0.456643,1500.0,1510.745318571055,54.254681428945105,1505.181423687022,1492.9097479408706,77.27167574615146,1500.0,1510.745318571055,54.254681428945105,1505.181423687022,1492.9097479408706,77.27167574615146,,,,,,,,,,,,,,,7.0,6.0,,,,-0.5571771502427623,1.456321736565787,,,0.5774502381791083,0.6094049209598696,,,,0.42614400172070765,0.2727321611012529,0.3011238371780395
2020-21,La Liga,league,2020-09-19,Getafe,Osasuna,H,1.0,0.0,0.702715,0.486466,1500.0,1515.6213763569797,49.37862364302032,1500.0,1500.4527346461703,64.54726535382974,1500.0,1515.6213763569797,49.37862364302032,1500.0,1500.4527346461703,64.54726535382974,,,,,,,,,,,,,,,,7.0,,,,0.6096305368492354,-1.2978249732133236,,,0.5705869292111302,0.5918368243295205,,,,0.4802593749783508,0.3005396717631818,0.21920095325846747
2020-21,Bundesliga,league,2020-09-19,Werder Bremen,Hertha,A,1.0,4.0,0.495892,2.05406,1515.6213763569797,1493.2204588019174,87.40091755506228,1515.6213763569797,1493.2204588019174,87.40091755506228,1515.6213763569797,1493.2204588019174,87.40091755506228,1515.6213763569797,1493.2204588019174,87.40091755506228,,,,,,,,,,,,,,,7.0,8.0,,,,-0.7522263155917668,0.8556770636378843,,,0.62319229143649,0.62319229143649,,,,0.36425920639451903,0.27424112665334477,0.3614996669521363
2020-21,Bundesliga,league,2020-09-19,Dortmund,M'gladbach,H,3.0,0.0,,,1525.4773674923358,1500.0,90.47736749233582,1525.4773674923358,1500.0,90.47736749233582,1525.4773674923358,1500.0,90.47736749233582,1525.4773674923358,1500.0,90.47736749233582,,,,,,,,,,,,,,,5.0,,,,,4.719748090695527,,,,0.6273417326897834,0.6273417326897834,,,,0.5862253099182041,0.21916221448776896,0.19461247559402703
2020-21,Bundesliga,league,2020-09-19,Union Berlin,Augsburg,A,1.0,3.0,1.04515,1.42046,1509.8559911353561,1529.5679734060686,45.2880177292875,1509.8559911353561,1529.5679734060686,45.2880177292875,1509.8559911353561,1529.5679734060686,45.2880177292875,1509.8559911353561,1529.5679734060686,45.2880177292875,,,,,,,,,,,,,,,7.0,7.0,,,,-0.17896020909124982,0.33353285179459746,,,0.5648080611849914,0.5648080611849914,,,,0.40757397659324374,0.29345326314713543,0.2989727602596208
2020-21,Bundesliga,league,2020-09-19,Stuttgart,Freiburg,A,2.0,3.0,2.15741,2.07011,1509.8559911353561,1509.8559911353561,65.0,1509.8559911353561,1509.8559911353561,65.0,1509.8559911353561,1509.8559911353561,65.0,1509.8559911353561,1509.8559911353561,65.0,,,,,,,,,,,,,,,6.0,6.0,,,,0.3355920517255717,-2.1255553529798625,,,0.5924662305843318,0.5924662305843318,,,,0.42290179670194444,0.27464312084666503,0.3024550824513906
2020-21,Bundesliga,league,2020-09-19,FC Koln,Hoffenheim,A,2.0,3.0,2.40801,2.9032,1527.6692652255983,1500.0,92.66926522559834,1527.6692652255983,1500.0,92.66926522559834,1527.6692652255983,1500.0,92.66926522559834,1527.6692652255983,1500.0,92.66926522559834,,,,,,,,,,,,,,,7.0,6.0,,,,-0.7917280092323928,-0.8125115670301959,,,0.6302867505420242,0.6302867505420242,,,,0.3668266582736643,0.2649303643087576,0.3682429774175781
