player_key,player,squad,src_league,pos,season,age,n_real_seasons,forecast_1y_eur,forecast_2y_eur
aaron anselmino,Aaron Anselmino,Strasbourg,FRA1,MF,2025-26,20.0,2,9988401.0,10175728.0
aaron connolly,Aaron Connolly,Brighton,ENG1,FW,2021-22,21.0,2,7306819.0,7717309.0
aaron cresswell,Aaron Cresswell,West Ham,ENG1,DF,2024-25,34.0,5,585867.0,414452.0
aaron escandell,Aarón Escandell,Oviedo,ESP1,GK,2025-26,29.0,4,1534782.0,1451486.0
aaron hickey,Aaron Hickey,Brentford,ENG1,DF,2026-27,24.0,6,16306278.0,13449321.0
aaron lennon,Aaron Lennon,Burnley,ENG1,MF,2021-22,34.0,1,771430.0,537103.0
aaron leya iseka,Aaron Leya Iseka,Metz,FRA1,FW,2020-21,23.0,1,3729193.0,4147094.0
aaron martin,Aaron Martin,Genoa,ITA1,DF,2025-26,28.0,7,3790951.0,3180040.0
aaron ramsdale,Aaron Ramsdale,Newcastle,ENG1,GK,2025-26,27.0,6,14264450.0,10708399.0
aaron ramsey,Aaron Ramsey,Burnley,ENG1,MF,2023-24,20.0,4,11352696.0,11345616.0
aaron wan bissaka,Aaron Wan-Bissaka,Aston Villa,ENG1,DF,2026-27,29.0,7,10530265.0,7117100.0
aaron zehnter,Aaron Zehnter,Wolfsburg,GER1,DF,2025-26,20.0,2,3572002.0,4184951.0
abass issah,Abass Issah,Mainz 05,GER1,FW,2020-21,21.0,1,1619476.0,2144200.0
abdallah sima,Abdallah Sima,Lens,FRA1,FW,2026-27,25.0,4,5935359.0,5753239.0
abdallahi mahmoud,Abdallahi Mahmoud,Alavés,ESP1,MF,2020-21,20.0,1,300000.0,400000.0
abde ezzalzouli,Abde Ezzalzouli,Real Betis,ESP1,FW,2026-27,25.0,5,21013961.0,16850554.0
abde rebbach,Abde Rebbach,Alavés,ESP1,DF,2026-27,28.0,4,1345138.0,1318100.0
abdel abqar,Abdel Abqar,Getafe,ESP1,DF,2026-27,27.0,4,3685311.0,3289501.0
abdelhamid sabiri,Abdelhamid Sabiri,Fiorentina,ITA1,MF,2025-26,29.0,3,1187257.0,1138732.0
abdellah raihani,Abdellah Raihani,Atlético Madrid,ESP1,FW,2023-24,19.0,1,896772.0,1200000.0
abdon prats,Abdón Prats,Mallorca,ESP1,FW,2025-26,32.0,5,786403.0,705032.0
abdou diallo,Abdou Diallo,RB Leipzig,GER1,DF,2022-23,26.0,3,14461873.0,11086941.0
abdou harroui,Abdou Harroui,Verona,ITA1,FW,2025-26,27.0,5,2209582.0,2279260.0
abdoul coulibaly,Abdoul Coulibaly,Werder Bremen,GER1,DF,2025-26,18.0,1,18024802.0,17105832.0
abdoul kader bamba,Abdoul Kader Bamba,Nantes,FRA1,MF,2023-24,29.0,3,1069433.0,1041932.0
abdoul ouattara,Abdoul Ouattara,Ipswich Town,ENG1,MF,2026-27,21.0,1,11821604.0,11483639.0
abdoulay diaby,Abdoulay Diaby,Getafe,ESP1,FW,2020-21,29.0,1,2409172.0,2210052.0
abdoulaye bakayoko,Abdoulaye Bakayoko,Saint-Etienne,FRA1,DF,2021-22,19.0,1,894451.0,1200000.0
abdoulaye bamba,Abdoulaye Bamba,Angers,FRA1,DF,2025-26,35.0,5,151239.0,119528.0
abdoulaye doucoure,Abdoulaye Doucouré,Everton,ENG1,MF,2024-25,31.0,5,6517697.0,4213422.0
abdoulaye faye,Abdoulaye Faye,Celta Vigo,ESP1,DF,2026-27,22.0,2,12600000.0,16800000.0
abdoulaye keita,Abdoulaye Keita,Getafe,ESP1,MF,2024-25,21.0,1,600000.0,800000.0
abdoulaye sidibe,Abdoulaye Sidibe,Saint-Etienne,FRA1,MF,2020-21,18.0,1,885517.0,1200000.0
abdoulaye sylla,Abdoulaye Sylla,Nantes,FRA1,DF,2021-22,21.0,2,493394.0,759899.0
abdoulaye toure,Abdoulaye Toure,Le Havre,FRA1,MF,2025-26,31.0,5,1729935.0,1364521.0
abdoulie ceesay,Abdoulie Ceesay,St Pauli,GER1,FW,2025-26,21.0,2,1316045.0,1797533.0
abdu conte,Abdu Conte,Troyes,FRA1,DF,2022-23,24.0,2,3463310.0,3603848.0
abdukodir khusanov,Abdukodir Khusanov,Manchester City,ENG1,DF,2026-27,22.0,3,37317537.0,29198216.0
abdul fatawu,Abdul Fatawu,Ipswich Town,ENG1,MF,2026-27,22.0,1,15498809.0,14067265.0
abdul fatawu issahaku,Abdul Fatawu Issahaku,Leicester City,ENG1,MF,2024-25,20.0,1,10142822.0,10309293.0
abdul mumin,Abdul Mumin,Rayo Vallecano,ESP1,DF,2025-26,27.0,3,3027581.0,2783290.0
abdulai juma bah,Abdulai Juma Bah,Valladolid,ESP1,DF,2024-25,18.0,1,6454550.0,7145627.0
abel bretones,Abel Bretones,Osasuna,ESP1,DF,2026-27,26.0,3,3343892.0,3193267.0
abel ruiz,Abel Ruiz,Girona,ESP1,FW,2025-26,25.0,2,3181041.0,3385839.0
ablie jallow,Ablie Jallow,Metz,FRA1,FW,2023-24,25.0,1,3040822.0,3258553.0
abner,Abner,Lyon,FRA1,DF,2025-26,29.0,3,5338145.0,3994951.0
aboubacar bassinga,Aboubacar Bassinga,Las Palmas,ESP1,MF,2024-25,19.0,1,300000.0,400000.0
aboubaka soumahoro,Aboubaka Soumahoro,Hamburger SV,GER1,MF,2025-26,20.0,1,2315712.0,2937486.0
aboubakar kamara,Aboubakar Kamara,Dijon,FRA1,FW,2020-21,25.0,2,2555212.0,2810576.0
abu kamara,Abu Kamara,Getafe,ESP1,MF,2025-26,22.0,1,3750698.0,4211642.0
achraf dari,Achraf Dari,Brest,FRA1,DF,2023-24,24.0,2,2417997.0,2655438.0
achraf hakimi,Achraf Hakimi,Paris Saint Germain,FRA1,DF,2026-27,28.0,7,45669084.0,26373977.0
adam armstrong,Adam Armstrong,Wolves,ENG1,FW,2025-26,28.0,4,7389416.0,6050436.0
adam aznou,Adam Aznou,Bayern Munich,GER1,DF,2024-25,18.0,2,4833394.0,5588157.0
adam boayar,Adam Boayar,Elche,ESP1,MF,2025-26,19.0,1,1744344.0,2349153.0
adam buksa,Adam Buksa,Udinese,ITA1,FW,2025-26,29.0,2,5171296.0,4230331.0
adam daghim,Adam Daghim,Hoffenheim,GER1,MF,2026-27,21.0,2,8933348.0,9050378.0
adam dzwigala,Adam Dźwigała,St Pauli,GER1,DF,2025-26,29.0,2,794249.0,791030.0
adam forshaw,Adam Forshaw,Leeds United,ENG1,MF,2022-23,30.0,2,1723977.0,1462137.0
adam hlozek,Adam Hložek,Hoffenheim,GER1,FW,2026-27,24.0,5,12310768.0,11089568.0
adam idah,Adam Idah,Norwich City,ENG1,FW,2021-22,20.0,1,4238847.0,4945199.0
adam kolle,Adam Kölle,Heidenheim,GER1,DF,2025-26,19.0,1,1995916.0,2599406.0
adam lallana,Adam Lallana,Southampton,ENG1,MF,2024-25,36.0,5,496397.0,305713.0
adam marusic,Adam Marusic,Lazio,ITA1,DF,2026-27,34.0,7,1450021.0,895393.0
adam masina,Adam Masina,Torino,ITA1,DF,2025-26,31.0,5,953722.0,803146.0
adam obert,Adam Obert,Cagliari,ITA1,DF,2026-27,24.0,5,4831912.0,4782995.0
adam ounas,Adam Ounas,Lille,FRA1,MF,2023-24,27.0,5,4884219.0,4268755.0
adam smith,Adam Smith,Bournemouth,ENG1,DF,2026-27,35.0,5,224568.0,167265.0
adam szalai,Ádám Szalai,Mainz 05,GER1,FW,2021-22,33.0,2,444203.0,403402.0
adam webster,Adam Webster,Brighton,ENG1,DF,2024-25,29.0,5,9405996.0,6465822.0
adam wharton,Adam Wharton,Crystal Palace,ENG1,MF,2026-27,22.0,4,52746294.0,39839992.0
adama boiro,Adama Boiro,Athletic Club,ESP1,DF,2026-27,24.0,3,2828341.0,3033896.0
adama soumaoro,Adama Soumaoro,Bologna,ITA1,DF,2022-23,30.0,4,2654870.0,2061877.0
adama traore,Adama Traoré,West Ham,ENG1,FW,2025-26,29.0,8,7140085.0,5564969.0
ademola lookman,Ademola Lookman,Atlético Madrid,ESP1,MF,2026-27,29.0,8,20307727.0,12722449.0
adil aouchiche,Adil Aouchiche,Schalke 04,GER1,MF,2026-27,24.0,3,5104929.0,5105904.0
adil rami,Adil Rami,Troyes,FRA1,DF,2022-23,37.0,2,213866.0,131461.0
adilson malanda,Adilson Malanda,Nimes,FRA1,MF,2020-21,19.0,1,450000.0,600000.0
admir mehmedi,Admir Mehmedi,Wolfsburg,GER1,FW,2021-22,30.0,2,1774727.0,1606692.0
adnan januzaj,Adnan Januzaj,Sevilla,ESP1,MF,2025-26,30.0,6,1469097.0,1276230.0
ado onaiwu,Ado Onaiwu,Auxerre,FRA1,FW,2024-25,29.0,2,1568942.0,1534902.0
adolfo gaich,Adolfo Gaich,Verona,ITA1,FW,2022-23,23.0,2,4149468.0,4541140.0
adri bosch,Adri Bosch,Granada,ESP1,DF,2023-24,22.0,1,300000.0,400000.0
adri embarba,Adri Embarba,Rayo Vallecano,ESP1,MF,2024-25,32.0,5,1230629.0,945850.0
adria altimira,Adrià Altimira,Villarreal,ESP1,DF,2025-26,24.0,3,2071985.0,2328774.0
adria pedrosa,Adrià Pedrosa,Rayo Vallecano,ESP1,DF,2026-27,28.0,7,2895854.0,2529337.0
adrian,Adrián,Real Betis,ESP1,GK,2025-26,38.0,3,195425.0,123802.0
adrian beck,Adrian Beck,Heidenheim,GER1,MF,2025-26,28.0,3,1552258.0,1521741.0
adrian bernabe,Adrian Bernabe,Parma Calcio 1913,ITA1,MF,2026-27,25.0,3,12389868.0,10400685.0
adrian butzke,Adrián Butzke,Granada,ESP1,FW,2021-22,22.0,1,900000.0,1200000.0
adrian de la fuente,Adrián de la Fuente,Levante,ESP1,DF,2026-27,27.0,2,1979930.0,1939900.0
adrian grbic,Adrian Grbic,Lorient,FRA1,MF,2023-24,27.0,4,2081308.0,2067336.0
adrian liso,Adrián Liso,Getafe,ESP1,FW,2025-26,20.0,1,4238847.0,4945199.0
adrian lopez,Adrián López,Osasuna,ESP1,FW,2020-21,32.0,1,1293223.0,1076051.0
adrian marin,Adrián Marín,Granada,ESP1,MF,2020-21,23.0,2,1755604.0,2139000.0
adrian nino,Adrian Niño,Atlético Madrid,ESP1,FW,2024-25,20.0,1,1756145.0,2338296.0
adrian rodriguez,Adrian Rodriguez,Alavés,ESP1,GK,2024-25,23.0,1,600000.0,800000.0
adrian semper,Adrian Semper,Pisa,ITA1,GK,2025-26,27.0,2,1971209.0,1991271.0
adrien hunou,Adrien Hunou,Angers,FRA1,MF,2022-23,28.0,2,3547682.0,3072377.0
adrien lebeau,Adrien Lebeau,Brest,FRA1,MF,2023-24,24.0,1,866887.0,1131226.0
adrien rabiot,Adrien Rabiot,AC Milan,ITA1,MF,2026-27,31.0,8,10412657.0,6274546.0
adrien silva,Adrien Silva,Sampdoria,ITA1,MF,2021-22,32.0,2,1638330.0,1206300.0
adrien tameze,Adrien Tameze,Torino,ITA1,DF,2025-26,31.0,6,1660044.0,1286434.0
adrien thomasson,Adrien Thomasson,Rennes,FRA1,MF,2026-27,33.0,7,2205636.0,1430930.0
adrien truffert,Adrien Truffert,Bournemouth,ENG1,DF,2026-27,25.0,7,18420417.0,14288369.0
adu ares,Adu Ares,Athletic Club,ESP1,MF,2024-25,22.0,2,2499685.0,2983037.0
afonso moreira,Afonso Moreira,Leverkusen,GER1,MF,2026-27,21.0,2,17151158.0,15756292.0
agustin marchesin,Agustín Marchesín,Celta Vigo,ESP1,GK,2022-23,34.0,1,2067185.0,1324063.0
agustin rogel,Agustín Rogel,Hertha BSC,GER1,DF,2022-23,24.0,1,2352661.0,2594324.0
ahmed elmohamady,Ahmed Elmohamady,Aston Villa,ENG1,DF,2020-21,32.0,1,1267762.0,946654.0
ahmed kutucu,Ahmed Kutucu,Schalke 04,GER1,FW,2020-21,20.0,1,2902682.0,3584288.0
aiham ousou,Aiham Ousou,Cádiz,ESP1,DF,2023-24,23.0,1,2877522.0,3198517.0
aihen munoz,Aihen Muñoz,Real Sociedad,ESP1,DF,2026-27,29.0,7,2334495.0,1977851.0
aiman dardari,Aiman Dardari,Augsburg,GER1,MF,2025-26,20.0,1,1767219.0,2334484.0
aiman maurer,Aiman Maurer,Clermont Foot,FRA1,MF,2023-24,19.0,1,1275124.0,1799880.0
aimar oroz,Aimar Oroz,Osasuna,ESP1,MF,2026-27,25.0,5,6023504.0,5634133.0
aimar sher,Aimar Sher,Spezia,ITA1,MF,2021-22,19.0,1,2285737.0,2955945.0
aimen moueffek,Aimen Moueffek,Saint-Etienne,FRA1,MF,2024-25,23.0,3,2832061.0,3211705.0
aingeru olabarrieta,Aingeru Olabarrieta,Athletic Club,ESP1,MF,2024-25,18.0,2,1014532.0,1500448.0
ainsley maitland niles,Ainsley Maitland-Niles,Lyon,FRA1,DF,2025-26,28.0,8,7364615.0,5592091.0
aissa laidouni,Aïssa Laïdouni,Union Berlin,GER1,MF,2023-24,26.0,2,1721683.0,1853660.0
aissa mandi,Aïssa Mandi,Levante,ESP1,DF,2026-27,35.0,7,565323.0,366615.0
aitor fernandez,Aitor Fernández,Osasuna,ESP1,GK,2025-26,34.0,6,572236.0,444401.0
aitor manas,Aitor Mañas,Alavés,ESP1,FW,2026-27,23.0,2,1018354.0,1375894.0
aitor paredes,Aitor Paredes,Athletic Club,ESP1,DF,2026-27,26.0,5,6281910.0,5457564.0
aitor ruibal,Aitor Ruibal,Real Betis,ESP1,DF,2025-26,29.0,6,2365213.0,1999951.0
ajdin hrustic,Ajdin Hrustic,Verona,ITA1,MF,2022-23,26.0,3,2711038.0,2726686.0
akaki gogia,Akaki Gogia,Union Berlin,GER1,FW,2020-21,28.0,1,1225670.0,1313971.0
akim zedadka,Akim Zedadka,Auxerre,FRA1,DF,2022-23,27.0,2,3669811.0,3277737.0
akor adams,Akor Adams,Venezia,ITA1,FW,2026-27,26.0,5,8832779.0,7744343.0
aladji bamba,Aladji Bamba,Newcastle,ENG1,MF,2026-27,20.0,2,16380990.0,15494694.0
alan empereur,Alan Empereur,Verona,ITA1,DF,2020-21,26.0,1,1700217.0,1797006.0
alan matturro,Alan Matturro,Levante,ESP1,DF,2025-26,20.0,3,5593812.0,6127272.0
alan virginius,Alan Virginius,Clermont Foot,FRA1,FW,2023-24,20.0,1,4697631.0,5396601.0
alassane diatta,Alassane Diatta,Villarreal,ESP1,MF,2025-26,20.0,1,1616699.0,2164356.0
alassane plea,Alassane Pléa,Gladbach,GER1,MF,2024-25,31.0,5,4595407.0,3130620.0
alban lafont,Alban Lafont,Nantes,FRA1,GK,2024-25,25.0,5,7424255.0,6683835.0
albert gronbaek,Albert Grønbaek,Hamburger SV,GER1,MF,2026-27,25.0,5,6046994.0,5652803.0
albert gudmundsson,Albert Gudmundsson,Fiorentina,ITA1,FW,2026-27,29.0,5,11112524.0,8105050.0
albert sambi lokonga,Albert Sambi Lokonga,Hamburger SV,GER1,MF,2026-27,27.0,7,9240532.0,7339522.0
alberth elis,Alberth Elis,Brest,FRA1,MF,2022-23,26.0,2,5921804.0,5297316.0
alberto cerri,Alberto Cerri,Como,ITA1,MF,2024-25,28.0,3,1227188.0,1246223.0
alberto dadie,Alberto Dadie,Real Sociedad,ESP1,DF,2023-24,21.0,1,750000.0,1000000.0
alberto dossena,Alberto Dossena,Cagliari,ITA1,DF,2025-26,27.0,3,5158330.0,4377839.0
alberto grassi,Alberto Grassi,Cremonese,ITA1,MF,2025-26,30.0,5,1267562.0,1125797.0
alberto mari,Alberto Marí,Valencia,ESP1,FW,2024-25,23.0,2,1795430.0,2227996.0
alberto moleiro,Alberto Moleiro,Villarreal,ESP1,MF,2026-27,23.0,4,35830915.0,27769468.0
alberto moreno,Alberto Moreno,Como,ITA1,DF,2025-26,33.0,6,863738.0,629101.0
alberto paleari,Alberto Paleari,Torino,ITA1,GK,2025-26,33.0,3,621344.0,515729.0
alberto perea,Alberto Perea,Granada,ESP1,FW,2023-24,32.0,4,619339.0,575506.0
alberto reina,Alberto Reina,Oviedo,ESP1,MF,2025-26,27.0,1,2617223.0,2511828.0
alberto risco,Alberto Risco,Getafe,ESP1,MF,2026-27,21.0,2,488826.0,765748.0
alberto soro,Alberto Soro,Granada,ESP1,FW,2023-24,24.0,3,1724914.0,2086530.0
albian hajdari,Albian Hajdari,Hoffenheim,GER1,DF,2026-27,23.0,2,19367498.0,16173176.0
albin ekdal,Albin Ekdal,Spezia,ITA1,MF,2022-23,33.0,3,810112.0,610770.0
alec georgen,Alec Georgen,Lorient,FRA1,MF,2026-27,28.0,1,2091733.0,1960884.0
aleix febas,Aleix Febas,Celta Vigo,ESP1,MF,2026-27,30.0,3,3092338.0,2402594.0
aleix garcia,Aleix García,Leverkusen,GER1,MF,2026-27,29.0,6,9988573.0,6960437.0
aleix vidal,Aleix Vidal,Espanyol,ESP1,MF,2022-23,32.0,3,1340347.0,1017066.0
alejandro balde,Alejandro Balde,Barcelona,ESP1,DF,2025-26,21.0,5,31621362.0,26093038.0
alejandro blanco,Alejandro Blanco,Valencia,ESP1,MF,2020-21,21.0,1,2692472.0,3265376.0
alejandro blesa,Alejandro Blesa,Levante,ESP1,MF,2020-21,18.0,1,450000.0,600000.0
alejandro frances,Alejandro Francés,Girona,ESP1,DF,2025-26,22.0,2,3286713.0,3702353.0
alejandro garnacho,Alejandro Garnacho,Aston Villa,ENG1,MF,2026-27,22.0,5,26208708.0,21985425.0
alejandro mestanza,Alejandro Mestanza,Getafe,ESP1,MF,2025-26,20.0,1,750000.0,1000000.0
alejandro pozo pozo,Alejandro Pozo Pozo,Almería,ESP1,DF,2023-24,24.0,3,3196663.0,3366597.0
alejandro primo,Alejandro Primo,Levante,ESP1,GK,2021-22,17.0,1,300000.0,400000.0
alejandro rego,Alejandro Rego,Athletic Club,ESP1,MF,2025-26,22.0,1,5953862.0,6237852.0
alejo sarco,Alejo Sarco,Leverkusen,GER1,FW,2025-26,19.0,2,2798920.0,3521283.0
alejo veliz,Alejo Véliz,Espanyol,ESP1,FW,2024-25,20.0,3,6509001.0,7120500.0
aleksa puric,Aleksa Puric,Atlético Madrid,ESP1,DF,2025-26,22.0,1,1989689.0,2416561.0
aleksa terzic,Aleksa Terzic,Frosinone,ITA1,MF,2026-27,27.0,3,2174711.0,2145935.0
aleksandar dragovic,Aleksandar Dragović,Leverkusen,GER1,DF,2020-21,29.0,1,3105645.0,2520918.0
aleksandar kolarov,Aleksandar Kolarov,Inter,ITA1,DF,2021-22,36.0,2,418837.0,257794.0
aleksandar mitrovic,Aleksandar Mitrović,Fulham,ENG1,FW,2023-24,28.0,3,15687385.0,11473238.0
aleksandar pavlovic,Aleksandar Pavlovic,Bayern Munich,GER1,MF,2026-27,22.0,4,63584109.0,46698441.0
aleksandar radovanovic,Aleksandar Radovanović,Almería,ESP1,DF,2023-24,29.0,2,875342.0,859173.0
aleksandar sedlar,Aleksandar Sedlar,Alavés,ESP1,DF,2024-25,32.0,3,290071.0,270233.0
aleksander buksa,Aleksander Buksa,Genoa,ITA1,FW,2021-22,18.0,1,2548811.0,3280128.0
aleksandr golovin,Aleksandr Golovin,Monaco,FRA1,MF,2026-27,30.0,7,11379001.0,7271515.0
aleksandr kokorin,Aleksandr Kokorin,Fiorentina,ITA1,FW,2021-22,30.0,2,1751546.0,1588837.0
aleksey miranchuk,Aleksey Miranchuk,Atalanta,ITA1,FW,2023-24,28.0,4,8724173.0,6967607.0
ales mateju,Ales Mateju,Venezia,ITA1,DF,2021-22,25.0,1,1797614.0,1976834.0
alessandro bastoni,Alessandro Bastoni,Inter,ITA1,DF,2026-27,27.0,7,44241150.0,27200665.0
alessandro berardi,Alessandro Berardi,Verona,ITA1,GK,2021-22,30.0,2,93102.0,126359.0
alessandro bianco,Alessandro Bianco,Fiorentina,ITA1,MF,2024-25,22.0,2,2909729.0,3394148.0
alessandro buongiorno,Alessandro Buongiorno,Napoli,ITA1,DF,2025-26,26.0,6,15769127.0,11933213.0
alessandro cortinovis,Alessandro Cortinovis,Verona,ITA1,MF,2022-23,21.0,1,1915368.0,2444663.0
alessandro deiola,Alessandro Deiola,Cagliari,ITA1,DF,2026-27,31.0,6,920556.0,779342.0
alessandro di pardo,Alessandro Di Pardo,Cagliari,ITA1,MF,2025-26,26.0,3,1012291.0,1180265.0
alessandro florenzi,Alessandro Florenzi,AC Milan,ITA1,MF,2024-25,33.0,5,1320045.0,924943.0
alessandro russo,Alessandro Russo,Sassuolo,ITA1,GK,2022-23,21.0,2,537101.0,798969.0
alessandro schopf,Alessandro Schöpf,Arminia,GER1,MF,2021-22,27.0,2,2186128.0,2155508.0
alessandro sorrentino,Alessandro Sorrentino,Monza,ITA1,GK,2023-24,21.0,1,1508720.0,1922205.0
alessandro tripaldelli,Alessandro Tripaldelli,Cagliari,ITA1,DF,2020-21,21.0,1,2013657.0,2511475.0
alessandro tuia,Alessandro Tuia,Lecce,ITA1,DF,2022-23,32.0,2,678608.0,556526.0
alessandro zanoli,Alessandro Zanoli,Udinese,ITA1,DF,2025-26,25.0,5,5445243.0,5070991.0
alessio castro montes,Alessio Castro-Montes,Köln,GER1,DF,2026-27,29.0,2,2226341.0,1899689.0
alessio cragno,Alessio Cragno,Sassuolo,ITA1,GK,2023-24,29.0,4,4038238.0,3303211.0
alessio furlanetto,Alessio Furlanetto,Lazio,ITA1,GK,2025-26,23.0,1,872962.0,1155070.0
alessio romagnoli,Alessio Romagnoli,Lazio,ITA1,DF,2025-26,30.0,6,5639355.0,3911750.0
alessio zerbin,Alessio Zerbin,Frosinone,ITA1,MF,2026-27,27.0,5,2321751.0,2268656.0
alex baena,Álex Baena,Atlético Madrid,ESP1,FW,2026-27,25.0,6,27451910.0,21147992.0
alex berenguer,Álex Berenguer,Athletic Club,ESP1,MF,2026-27,31.0,8,3537119.0,2506150.0
alex calatrava,Álex Calatrava,Espanyol,ESP1,MF,2026-27,26.0,1,4356388.0,4080632.0
alex cantero,Álex Cantero,Levante,ESP1,FW,2021-22,21.0,2,1222243.0,1688033.0
alex centelles,Álex Centelles,Almería,ESP1,DF,2023-24,25.0,2,1702819.0,1887867.0
alex collado,Álex Collado,Elche,ESP1,MF,2022-23,23.0,2,4659661.0,4903990.0
alex cordaz,Alex Cordaz,Inter,ITA1,MF,2022-23,39.0,2,136948.0,74258.0
alex dominguez,Alex Dominguez,Toulouse,FRA1,MF,2024-25,26.0,1,787949.0,953879.0
alex fernandez,Álex Fernández,Cádiz,ESP1,MF,2023-24,30.0,4,2395492.0,1933846.0
alex ferrari,Alex Ferrari,Cremonese,ITA1,DF,2022-23,28.0,3,1634454.0,1555477.0
alex fores,Álex Forés,Oviedo,ESP1,FW,2025-26,24.0,1,1560476.0,1916200.0
alex freeman,Alex Freeman,Villarreal,ESP1,DF,2026-27,22.0,2,6903575.0,6957340.0
alex grimaldo,Álex Grimaldo,Atlético Madrid,ESP1,DF,2026-27,31.0,4,10521181.0,6180743.0
alex iwobi,Alex Iwobi,Fulham,ENG1,MF,2026-27,30.0,8,12181939.0,7705403.0
alex jimenez,Álex Jiménez,Bournemouth,ENG1,DF,2025-26,20.0,1,15826549.0,14831796.0
alex kral,Alex Král,Union Berlin,GER1,MF,2025-26,27.0,5,3704153.0,3374512.0
alex marchal,Alex Marchal,Real Sociedad,ESP1,MF,2026-27,19.0,1,3319339.0,4058989.0
alex martin,Álex Martín,Cádiz,ESP1,DF,2020-21,22.0,1,1415423.0,1809188.0
alex matos,Alex Matos,Chelsea,ENG1,MF,2023-24,18.0,1,2231361.0,2932103.0
alex mccarthy,Alex McCarthy,Southampton,ENG1,GK,2024-25,34.0,4,631904.0,483493.0
alex meret,Alex Meret,Napoli,ITA1,GK,2026-27,29.0,7,7206413.0,5404238.0
alex mighten,Alex Mighten,Nottingham,ENG1,FW,2022-23,20.0,1,1449666.0,1986557.0
alex millan,Álex Millán,Villarreal,ESP1,FW,2020-21,20.0,1,900000.0,1200000.0
alex moreno,Álex Moreno,Girona,ESP1,DF,2025-26,32.0,7,3654190.0,2327992.0
alex munoz,Álex Muñoz,Las Palmas,ESP1,DF,2024-25,30.0,1,1219708.0,1064494.0
alex murphy,Alex Murphy,Newcastle,ENG1,DF,2025-26,21.0,2,1420610.0,1867002.0
alex oxlade chamberlain,Alex Oxlade-Chamberlain,Liverpool,ENG1,FW,2022-23,28.0,3,12240616.0,9291821.0
alex padilla,Alex Padilla,Athletic Club,ESP1,GK,2025-26,21.0,2,3722473.0,4141799.0
alex palmer,Alex Palmer,Ipswich Town,ENG1,GK,2024-25,27.0,1,1553366.0,1626262.0
alex petxa,Alex Petxa,Athletic Club,ESP1,DF,2021-22,24.0,1,1879926.0,2143968.0
alex remiro,Álex Remiro,Real Sociedad,ESP1,GK,2026-27,31.0,7,7936325.0,5186133.0
alex sala,Alex Sala,Lecce,ITA1,MF,2025-26,24.0,1,1934406.0,2237932.0
alex sanchez,Álex Sánchez,Elche,ESP1,FW,2025-26,19.0,1,150000.0,200000.0
alex sancris,Álex Sancris,Getafe,ESP1,MF,2025-26,28.0,1,2003644.0,1890466.0
alex sandro,Alex Sandro,Juventus,ITA1,DF,2023-24,32.0,4,2488945.0,1679663.0
alex scott,Alex Scott,Bournemouth,ENG1,MF,2026-27,23.0,4,35477525.0,27536496.0
alex sola,Alex Sola,Getafe,ESP1,DF,2025-26,26.0,6,1584265.0,1692289.0
alex suarez,Álex Suárez,Las Palmas,ESP1,DF,2024-25,31.0,2,932437.0,787884.0
alex telles,Alex Telles,Sevilla,ESP1,DF,2022-23,29.0,3,11100578.0,7443435.0
alex toth,Alex Tóth,Bournemouth,ENG1,MF,2026-27,21.0,2,13076665.0,12512009.0
alexander bernhardsson,Alexander Bernhardsson,Holstein Kiel,GER1,FW,2024-25,25.0,1,3984604.0,4100245.0
alexander djiku,Alexander Djiku,Strasbourg,FRA1,DF,2022-23,28.0,3,6537062.0,5053263.0
alexander hack,Alexander Hack,Mainz 05,GER1,DF,2022-23,28.0,3,2074156.0,1904636.0
alexander isak,Alexander Isak,Liverpool,ENG1,FW,2026-27,27.0,8,53465040.0,34197137.0
alexander meyer,Alexander Meyer,Dortmund,GER1,GK,2024-25,33.0,3,572111.0,480781.0
alexander nubel,Alexander Nübel,Stuttgart,GER1,GK,2025-26,28.0,6,8359553.0,6472433.0
alexander prass,Alexander Prass,Hoffenheim,GER1,MF,2025-26,24.0,2,7028486.0,6700604.0
alexander rossing lelesiit,Alexander Røssing-Lelesiit,Hamburger SV,GER1,FW,2025-26,18.0,1,5687527.0,6489164.0
alexander schwolow,Alexander Schwolow,Union Berlin,GER1,GK,2024-25,32.0,5,773057.0,668620.0
alexander sorloth,Alexander Sørloth,Atlético Madrid,ESP1,FW,2025-26,29.0,7,11544233.0,8371923.0
alexandre alemao,Alexandre Alemão,Rayo Vallecano,ESP1,FW,2026-27,28.0,2,3911957.0,3523733.0
alexandre coeff,Alexandre Coeff,Auxerre,FRA1,DF,2022-23,30.0,1,961585.0,869692.0
alexandre jankewitz,Alexandre Jankewitz,Southampton,ENG1,MF,2020-21,18.0,1,1244789.0,1785362.0
alexandre lacazette,Alexandre Lacazette,Lyon,FRA1,FW,2024-25,33.0,5,5075823.0,3198707.0
alexandre lauray,Alexandre Lauray,Le Mans,FRA1,MF,2026-27,29.0,1,1019753.0,1000643.0
alexandre letellier,Alexandre Letellier,Paris Saint Germain,FRA1,MF,2022-23,32.0,2,354136.0,328102.0
alexandre oukidja,Alexandre Oukidja,Metz,FRA1,GK,2023-24,35.0,3,480179.0,352073.0
alexandre phliponeau,Alexandre Phliponeau,Troyes,FRA1,MF,2026-27,26.0,1,839640.0,1006814.0
alexis beka beka,Alexis Beka Beka,Nice,FRA1,MF,2022-23,21.0,1,4274033.0,4836340.0
