player_key,player,squad,src_league,pos,season,age,n_real_seasons,forecast_1y_eur,forecast_2y_eur
dennis man,Dennis Man,Parma Calcio 1913,ITA1,FW,2024-25,26.0,2,8889266.0,7786420.0
dennis praet,Dennis Praet,Leicester City,ENG1,MF,2022-23,28.0,3,9726817.0,7240969.0
denso kasius,Denso Kasius,Bologna,ITA1,DF,2022-23,20.0,2,2873870.0,3478664.0
denys bain,Denys Bain,Auxerre,FRA1,DF,2022-23,29.0,2,1044446.0,998350.0
denzel dumfries,Denzel Dumfries,Real Madrid,ESP1,DF,2026-27,30.0,6,14286821.0,8620279.0
dereck kutesa,Dereck Kutesa,Reims,FRA1,MF,2020-21,23.0,1,3167882.0,3532661.0
derek mazou sacko,Derek Mazou-Sacko,Troyes,FRA1,FW,2021-22,17.0,1,742716.0,1000000.0
derrick kohn,Derrick Köhn,Union Berlin,GER1,DF,2026-27,27.0,3,3681945.0,3286948.0
derry scherhant,Derry Scherhant,Freiburg,GER1,MF,2026-27,24.0,3,5384357.0,5342508.0
desire doue,Desire Doue,Paris Saint Germain,FRA1,FW,2026-27,21.0,5,61576960.0,47239172.0
destiny udogie,Destiny Udogie,Tottenham,ENG1,DF,2026-27,24.0,4,27940560.0,21256835.0
deyovaisio zeefuik,Deyovaisio Zeefuik,Verona,ITA1,MF,2022-23,24.0,3,3574295.0,3771319.0
deyverson,Deyverson,Alavés,ESP1,FW,2020-21,29.0,1,3014994.0,2674289.0
diadie samassekou,Diadie Samassékou,Hoffenheim,GER1,MF,2024-25,28.0,6,2470314.0,2258712.0
diant ramaj,Diant Ramaj,Heidenheim,GER1,GK,2025-26,23.0,3,3907404.0,4129213.0
didac vila,Dídac Vilà,Espanyol,ESP1,DF,2021-22,32.0,1,688247.0,563238.0
didier lamkel ze,Didier Lamkel Ze,Metz,FRA1,FW,2023-24,27.0,2,2048427.0,2137164.0
didier ndong,Didier Ndong,Dijon,FRA1,MF,2020-21,26.0,1,3238745.0,3171686.0
diego,Diego,Leganés,ESP1,FW,2024-25,24.0,1,2593696.0,2951233.0
diego aguado,Diego Aguado,Real Madrid,ESP1,DF,2025-26,18.0,1,5715819.0,6444229.0
diego carlos,Diego Carlos,Parma Calcio 1913,ITA1,DF,2026-27,33.0,7,3944996.0,2287891.0
diego conde,Diego Conde,Villarreal,ESP1,GK,2024-25,25.0,2,3612103.0,3622988.0
diego coppola,Diego Coppola,Paris FC,FRA1,DF,2026-27,23.0,7,11685366.0,10526374.0
diego costa,Diego Costa,Wolves,ENG1,FW,2022-23,33.0,2,3346266.0,2244762.0
diego demme,Diego Demme,Napoli,ITA1,MF,2023-24,32.0,4,2038877.0,1452769.0
diego falcinelli,Diego Falcinelli,Bologna,ITA1,FW,2021-22,30.0,1,1202911.0,1154435.0
diego farias,Diego Farias,Cagliari,ITA1,MF,2021-22,31.0,2,1162233.0,973092.0
diego godin,Diego Godin,Cagliari,ITA1,DF,2021-22,35.0,2,721005.0,450823.0
diego gomez,Diego Gómez,Brighton,ENG1,MF,2026-27,23.0,3,20251078.0,17097369.0
diego gonzalez,Diego González,Elche,ESP1,DF,2022-23,27.0,3,1683296.0,1689910.0
diego lainez,Diego Lainez,Real Betis,ESP1,MF,2021-22,21.0,2,5024710.0,5549437.0
diego llorente,Diego Llorente,Real Betis,ESP1,DF,2026-27,33.0,9,2011148.0,1290396.0
diego lopez,Diego López,Valencia,ESP1,MF,2025-26,23.0,6,9041572.0,8615009.0
diego marino,Diego Mariño,Almería,ESP1,GK,2023-24,33.0,2,418232.0,368378.0
diego morcillo,Diego Morcillo,Alavés,ESP1,FW,2025-26,22.0,1,600000.0,800000.0
diego pampin,Diego Pampín,Levante,ESP1,DF,2025-26,25.0,1,1797614.0,1976834.0
diego perotti,Diego Perotti,Salernitana,ITA1,MF,2021-22,33.0,1,559922.0,446193.0
diego rico,Diego Rico,Getafe,ESP1,DF,2025-26,32.0,5,822569.0,655399.0
diego valencia,Diego Valencia,Salernitana,ITA1,MF,2022-23,22.0,1,1898077.0,2360603.0
dikeni rafid salifou,Dikeni-Rafid Salifou,Werder Bremen,GER1,MF,2022-23,19.0,1,600000.0,800000.0
dilane bakwa,Dilane Bakwa,Lille,FRA1,MF,2026-27,24.0,7,17390866.0,14472863.0
dimitri foulquier,Dimitri Foulquier,Valencia,ESP1,DF,2025-26,32.0,7,971727.0,755130.0
dimitri payet,Dimitri Payet,Marseille,FRA1,MF,2022-23,35.0,3,1932573.0,1069430.0
dimitrije kamenovic,Dimitrije Kamenovic,Lazio,ITA1,DF,2021-22,21.0,1,3196481.0,3719739.0
dimitris giannoulis,Dimitris Giannoulis,Augsburg,GER1,MF,2025-26,29.0,3,2549845.0,2180697.0
dimitris limnios,Dimitris Limnios,Köln,GER1,FW,2022-23,24.0,2,2647699.0,3003382.0
dimitris siovas,Dimitris Siovas,Huesca,ESP1,DF,2020-21,31.0,1,2011949.0,1514817.0
dimitry bertaud,Dimitry Bertaud,Montpellier,FRA1,GK,2024-25,26.0,4,1296538.0,1457902.0
dinko horkas,Dinko Horkaš,Las Palmas,ESP1,GK,2024-25,25.0,1,1907318.0,2105380.0
diogo dalot,Diogo Dalot,Manchester Utd,ENG1,DF,2026-27,27.0,7,19336064.0,13459841.0
diogo jota,Diogo Jota,Liverpool,ENG1,FW,2024-25,27.0,5,34933722.0,23817077.0
diogo leite,Diogo Leite,Lazio,ITA1,MF,2026-27,27.0,5,9654254.0,7617917.0
dion drena beljo,Dion Drena Beljo,Augsburg,GER1,FW,2023-24,21.0,1,5176256.0,5757185.0
dion lopy,Dion Lopy,Almería,ESP1,MF,2023-24,21.0,4,4774409.0,5313568.0
divin mubama,Divin Mubama,Manchester City,ENG1,FW,2024-25,19.0,2,3264034.0,4012827.0
divine mukasa,Divine Mukasa,Manchester City,ENG1,MF,2025-26,17.0,1,5578372.0,6436324.0
divock origi,Divock Origi,Nottingham,ENG1,MF,2023-24,28.0,4,6102523.0,4871970.0
djavan anderson,Djavan Anderson,Lazio,ITA1,DF,2020-21,25.0,1,975896.0,1176173.0
djed spence,Djed Spence,Tottenham,ENG1,DF,2025-26,24.0,5,15655032.0,12991361.0
djeidi gassama,Djeidi Gassama,Paris Saint Germain,FRA1,FW,2021-22,18.0,1,871682.0,1200000.0
djene,Djené,Getafe,ESP1,DF,2026-27,35.0,7,719250.0,449891.0
djibril sidibe,Djibril Sidibe,Le Mans,FRA1,MF,2026-27,34.0,5,683909.0,484846.0
djibril sow,Djibril Sow,Genoa,ITA1,MF,2026-27,29.0,7,5860816.0,4424080.0
djordje petrovic,Đorđe Petrović,Bournemouth,ENG1,GK,2026-27,27.0,4,19121520.0,13737315.0
dodi lukebakio,Dodi Lukebakio,Sevilla,ESP1,MF,2025-26,27.0,7,9821791.0,7730141.0
dodo,Dodo,Fiorentina,ITA1,DF,2026-27,28.0,5,12071930.0,8511515.0
dogan alemdar,Dogan Alemdar,Rennes,FRA1,GK,2022-23,20.0,2,4266102.0,4719592.0
domagoj bradaric,Domagoj Bradaric,Verona,ITA1,DF,2025-26,26.0,6,2726079.0,2684285.0
domen crnigoj,Domen Crnigoj,Venezia,ITA1,MF,2024-25,29.0,3,775603.0,792962.0
domenico berardi,Domenico Berardi,Sassuolo,ITA1,MF,2026-27,32.0,6,4742047.0,2977044.0
domenico criscito,Domenico Criscito,Genoa,ITA1,DF,2021-22,35.0,2,515908.0,339192.0
domingos duarte,Domingos Duarte,Getafe,ESP1,DF,2025-26,30.0,6,1151809.0,1013910.0
domingos quina,Domingos Quina,Udinese,ITA1,MF,2023-24,24.0,3,2399681.0,2687893.0
dominic calvert lewin,Dominic Calvert-Lewin,Leeds United,ENG1,FW,2026-27,29.0,7,16045338.0,11075451.0
dominic sadi,Dominic Sadi,Bournemouth,ENG1,MF,2023-24,19.0,1,300000.0,400000.0
dominic solanke,Dominic Solanke,Tottenham,ENG1,FW,2026-27,29.0,5,19075682.0,12829891.0
