season,comp,Date,match,outcome,model_p,mkt_p,odds,won,edge,odds_bucket,flat_stake_2pct,kelly_stake
2024-25,Serie A,2024-08-19,Lecce vs Atalanta,H,0.1947,0.22603365201018796,4.23,0,-0.03133365201018795,3.0-5.0,0.0,0.0
2024-25,Premier League,2024-08-19,Leicester vs Tottenham,H,0.3337,0.191568212440598,5.01,0,0.142131787559402,5.0+ (longshot),1.0,0.04188509975062345
2024-25,La Liga,2024-08-19,Villarreal vs Ath Madrid,H,0.3329,0.2875123332015328,3.33,0,0.045387666798467174,3.0-5.0,1.0,0.01164774678111588
2024-25,La Liga,2024-08-19,Valladolid vs Espanol,H,0.3821,0.40520655593995086,2.36,1,-0.023106555939950868,2.0-3.0,0.0,0.0
2024-25,La Liga,2024-08-23,Celta vs Valencia,H,0.4182,0.4517410178258059,2.12,1,-0.033541017825805874,2.0-3.0,0.0,0.0
2024-25,Bundesliga,2024-08-23,M'gladbach vs Leverkusen,H,0.0774,0.18501744862349748,5.16,0,-0.10761744862349748,5.0+ (longshot),0.0,0.0
2024-25,La Liga,2024-08-23,Sevilla vs Villarreal,H,0.3813,0.3985032740879327,2.4,0,-0.017203274087932707,2.0-3.0,0.0,0.0
2024-25,Ligue 1,2024-08-23,Paris SG vs Montpellier,H,0.7641,0.7766947661567055,1.23,1,-0.012594766156705517,1.0-1.5 (fav),0.0,0.0
2024-25,Bundesliga,2024-08-24,Freiburg vs Stuttgart,H,0.2873,0.2743502987545893,3.5,1,0.012949701245410727,3.0-5.0,0.0,0.0005549999999999944
2024-25,Bundesliga,2024-08-24,Augsburg vs Werder Bremen,H,0.394,0.41961790091224616,2.28,0,-0.02561790091224614,2.0-3.0,0.0,0.0
2024-25,Serie A,2024-08-24,Monza vs Genoa,H,0.2968,0.3649518848129658,2.62,0,-0.0681518848129658,2.0-3.0,0.0,0.0
2024-25,Serie A,2024-08-24,Inter vs Lecce,H,0.7059,0.7966181973191873,1.2,1,-0.09071819731918729,1.0-1.5 (fav),0.0,0.0
2024-25,Serie A,2024-08-24,Parma vs Milan,H,0.1849,0.2014336453874018,4.74,1,-0.01653364538740179,3.0-5.0,0.0,0.0
2024-25,Premier League,2024-08-24,Aston Villa vs Arsenal,H,0.2331,0.2172718950259383,4.41,0,0.015828104974061702,3.0-5.0,0.0,0.002050659824046918
2024-25,Premier League,2024-08-24,Tottenham vs Everton,H,0.5674,0.6647864625302176,1.44,1,-0.09738646253021754,1.0-1.5 (fav),0.0,0.0
2024-25,Premier League,2024-08-24,Southampton vs Nott'm Forest,H,0.3208,0.37326999208234357,2.57,0,-0.0524699920823436,2.0-3.0,0.0,0.0
2024-25,Premier League,2024-08-24,Fulham vs Leicester,H,0.4513,0.5239923409250545,1.83,1,-0.07269234092505455,1.5-2.0,0.0,0.0
2024-25,Serie A,2024-08-24,Udinese vs Lazio,H,0.2903,0.29213802131594196,3.27,1,-0.0018380213159419623,3.0-5.0,0.0,0.0
2024-25,Premier League,2024-08-24,Brighton vs Man United,H,0.389,0.38440676403475754,2.5,1,0.00459323596524247,2.0-3.0,0.0,0.0
2024-25,Premier League,2024-08-24,Crystal Palace vs West Ham,H,0.5693,0.44140591384774247,2.17,0,0.12789408615225756,2.0-3.0,1.0,0.05
2024-25,Bundesliga,2024-08-24,Mainz vs Union Berlin,H,0.5375,0.4689476761698885,2.05,0,0.06855232383011145,2.0-3.0,1.0,0.02425595238095237
2024-25,Bundesliga,2024-08-24,RB Leipzig vs Bochum,H,0.7687,0.7641298749709127,1.25,1,0.00457012502908738,1.0-1.5 (fav),0.0,0.0
2024-25,Bundesliga,2024-08-24,Dortmund vs Ein Frankfurt,H,0.4803,0.5598247228378094,1.71,1,-0.07952472283780937,1.5-2.0,0.0,0.0
2024-25,La Liga,2024-08-24,Osasuna vs Mallorca,H,0.3537,0.38644673309330435,2.47,1,-0.03274673309330434,2.0-3.0,0.0,0.0
2024-25,Bundesliga,2024-08-24,Hoffenheim vs Holstein Kiel,H,0.5834,0.580966871844526,1.65,1,0.002433128155474029,1.5-2.0,0.0,0.0
2024-25,La Liga,2024-08-24,Espanol vs Sociedad,H,0.2483,0.2390790383006584,4.0,0,0.009220961699341584,3.0-5.0,0.0,0.0
2024-25,La Liga,2024-08-24,Getafe vs Vallecano,H,0.437,0.38200477650501774,2.5,0,0.05499522349498226,2.0-3.0,1.0,0.01541666666666667
2024-25,Ligue 1,2024-08-24,Lyon vs Monaco,H,0.3131,0.3800808509151065,2.51,0,-0.06698085091510653,2.0-3.0,0.0,0.0
2024-25,Ligue 1,2024-08-24,Lille vs Angers,H,0.6733,0.7038167352115924,1.35,1,-0.030516735211592372,1.0-1.5 (fav),0.0,0.0
2024-25,Ligue 1,2024-08-24,St Etienne vs Le Havre,H,0.435,0.4562354763749032,2.09,0,-0.021235476374903195,2.0-3.0,0.0,0.0
2024-25,La Liga,2024-08-24,Barcelona vs Ath Bilbao,H,0.5341,0.5823782906897826,1.64,1,-0.04827829068978262,1.5-2.0,0.0,0.0
2024-25,Premier League,2024-08-25,Wolves vs Chelsea,H,0.2054,0.21922966164936256,4.37,0,-0.013829661649362557,3.0-5.0,0.0,0.0
2024-25,Serie A,2024-08-25,Roma vs Empoli,H,0.5426,0.6346801346801347,1.5,0,-0.09208013468013476,1.0-1.5 (fav),0.0,0.0
2024-25,Serie A,2024-08-25,Napoli vs Bologna,H,0.4775,0.4982806615359424,1.92,1,-0.020780661535942435,1.5-2.0,0.0,0.0
2024-25,Serie A,2024-08-25,Torino vs Atalanta,H,0.2558,0.3012976687618815,3.17,1,-0.04549766876188149,3.0-5.0,0.0,0.0
2024-25,Serie A,2024-08-25,Fiorentina vs Venezia,H,0.7304,0.666241957061859,1.43,0,0.06415804293814109,1.0-1.5 (fav),1.0,0.025855813953488415
2024-25,Premier League,2024-08-25,Liverpool vs Brentford,H,0.6763,0.7663388416510348,1.25,1,-0.09003884165103482,1.0-1.5 (fav),0.0,0.0
2024-25,Premier League,2024-08-25,Bournemouth vs Newcastle,H,0.3267,0.3209519698192534,2.99,0,0.0057480301807465994,2.0-3.0,0.0,0.0
